CLONE,Anth,BlLS,BrLS,WhLS,Vigor,NR,RF,DRY,DMC,PTR,PPA,SelInd
BGM-0087,3.04958374203207,3.21004746986824,3.23498608759247,1.29851863333773,2.58843752215222,7.42619272429084,1.80193690203756,7.14114917285225,35.4246159922828,24.4126693579435,24.060901941322,111.378860384138
BGM-0039,3.19456789403927,3.26754345760851,3.27287427618752,1.44825099950561,3.2209524126192,7.34917101712199,1.81909558317764,7.47179688827694,36.4260484019811,27.6478708619976,35.1443513666414,109.317714196452
BGM-2120,3.14802571343982,3.29479354365404,3.32846817099096,1.43806679815948,1.96848735073117,6.87681341381606,1.78974405030059,10.1657778903007,36.1053554553141,24.1694170984503,18.3322084546195,108.932355938743
BGM-0693,3.11655606749239,3.29065738028493,3.32004599175292,1.38132014099677,2.77962593813594,7.79079436547113,1.82725253410808,7.86265617341673,35.2967651922633,32.2476668019621,26.483461695156,108.202119123005
BGM-1156,3.06498518516393,3.18121744551522,3.22300981283425,1.38916217608622,2.64923987522935,6.78351919687508,1.79908946396084,6.73662522760207,36.41257913865,23.3018677157384,25.4349467206584,107.414160363761
BGM-0714,3.14877476793844,3.31960218480361,3.32004599175292,1.31714912692483,3.03169440020157,8.06079229493747,1.86683202596171,7.20615228456089,35.5095004407419,31.7631502456535,29.38470978618,106.765621468651
BGM-0281,3.10239919435698,3.20355506854601,3.23044088082644,1.34920157992548,2.58669035290727,8.55516605352237,1.87238066765914,6.1503039223046,36.002315754199,22.4379646408343,18.9238582849614,106.098791242868
BGM-0918,3.09159022820713,3.25561838301997,3.29095743379945,1.47575463178018,2.63592963194839,6.57472238645514,1.89428458494094,7.30218414353425,35.6543772777343,24.7797145735264,28.8265897969802,105.042849087374
BGM-1683,3.22771339848488,3.34581794394544,3.35802464562006,1.49484071679616,2.93196116024426,8.88556744703181,1.76472641144395,7.38979235295656,35.7340672419356,26.0759492493781,19.6364024015805,39.2840364734673
BGM-2095,3.11822626497252,3.29300841099324,3.30772712155744,1.38493177032154,3.87502869942274,8.48727135155113,2.03334009662387,7.65507586592987,36.0558809587639,24.1803937123947,25.9643665762551,170.3570636697
BR-11-34-41,3.17836521533451,3.32341593962362,3.34097447432878,1.39618348718373,3.84816672105936,11.1615964881386,1.94448928354283,8.83167476770279,32.1495115265581,38.4055266928958,32.3522189258057,162.44927106336
BR-11-34-45,3.18856801600486,3.35481315691052,3.36760657576112,1.44072649236594,3.91096535873031,8.23815233650941,1.92293423509973,9.23293541509309,35.5480985132965,31.3166004051863,26.714736352671,146.599499922649
BR-11-34-64,3.19817902799275,3.31295927282359,3.32984169767381,1.42292523799,3.50277421386914,9.24408439583773,1.90606839911284,7.17249544722162,32.0912791269572,31.603116281555,25.3289934245563,76.6948212464416
BR-12-107-002,3.19275676006486,3.33438904177013,3.34027542476656,1.3838762617331,1.87000963442443,8.81459840540218,2.00371912770172,5.67538255088714,35.2806215421202,22.103048087622,20.393055535253,55.9154905441533
BRS-Amansa-Burro,3.21446856153913,3.35770511955112,3.36572260190509,1.47780213079533,0,8.23975336138781,1.95080925257289,8.03597433754734,36.501280789593,27.0043277222753,32.1859015624452,112.479314782917
BRS-Caipira,3.16469744693209,3.33608517508363,3.34284308083269,1.41851731779089,3.58398458251864,10.8236656918435,1.82019463887813,8.44176966245482,35.6577657174636,35.3206196068069,32.3036315098993,145.966855180206
BRS-Dourada,3.17065048143643,3.33658736879564,3.35039091402485,1.41174904948031,3.10505546405606,8.44509748279552,1.73378564661412,6.73390868077438,33.3508395028087,25.5377926814088,25.568113370699,10.4980697379499
BRS-Formosa,3.16945358810794,3.3017481412302,3.31794105977372,1.39096634102046,2.1177282843334,8.73967159837629,1.82985840506637,6.8692558712936,35.7987688470036,27.6452124060232,18.3091646999657,66.3401707536688
BRS-Formosa-Tetra,3.14946418464848,3.34346204326489,3.35103775353479,1.436965339104,2.05385024370442,6.10610411823478,1.80037781477708,5.66875995984326,33.7219258415331,12.6401381178979,15.2062429829763,-55.2062352009467
BRS-Gema-de-Ovo,3.20055325366301,3.35179783931005,3.36160460811447,1.49777493332336,0,10.6386011066184,1.87998820771969,5.19202560552203,35.0920891706212,16.2616864349837,21.9036754730724,9.49079704553283
BRS-Jari,3.20517045173515,3.32897351423346,3.34298755277844,1.44693731403964,1.34684688183263,7.94915510627506,1.77130968037618,5.60012659594571,32.8807277810776,15.2178195850044,13.0061049206707,-68.8755227845454
BRS-Kiriris,3.20165206590229,3.32142396048614,3.33004978867903,1.49598428492478,2.3980648606113,8.41400061251045,1.8972393879805,7.65387486310905,35.0662459133336,30.7447913195252,19.469196027042,84.219777008329
BRS-Mulatinha,3.11798717498096,3.30405475670671,3.31595384907765,1.4587487127598,3.73222454775706,7.81811649949768,2.04445137045245,7.84125882805466,37.2155880757691,26.6264683123935,30.6378455491362,183.882103509239
BRS-NovoHorizonte,3.16049453632912,3.33047641821343,3.34255388100165,1.44630309790525,0,0,0,0,0,0,0,-0.148072395320221
BRS-Poti-Branca,3.15880733003461,3.30690250947796,3.32248366710359,1.4578293282673,0,9.54087413825187,1.93664504360225,8.68690091005187,35.8353799783758,30.9210896789923,31.6298647712207,160.013801572433
BRS-Tapioqueira,3.22929825453464,3.34444006826536,3.36416574000374,1.53092676708188,3.32171387478913,9.8525509959345,1.89624061077559,7.77937190814833,35.3991782905978,33.0797139802695,27.6545071555195,107.597222266099
BRS-Verdinha,3.1443188282087,3.30966382775652,3.32382517820845,1.44028455932856,3.07084624130873,8.40900692503767,1.86749267366838,7.32758681082476,35.7400987186475,28.4624353959789,28.2149133922492,103.341130591504
